route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SILVER,SV2 UIMF,[@6.0.28932250@][1][1654213960918]/55__SV2_UIMF,Lincoln Square,0,SV2 UIMF,[@6.0.28932250@]1
GREENHOPPER EVENING,R3 MF,[@14.0.50384734@][1270492238828]/33__R3_MF,Round Barn Road / Parkland College,1,R3 MF,HOPPER EV 62
TEAL LATE NIGHT SUNDAY,T1 UISU,[@124.0.92276155@][1484344792164]/79__T1_UISU,Illinois Terminal,1,T1 UISU,[@124.0.92276155@]120W TEAL LATE 12
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/173__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 1
RUBY,RUB2  NOSCH,[@15.0.64600293@][1][1339519267236]/9__RUB2__NOSCH,Airport & Cunningham,0,RUB2  NOSCH,[@15.0.64600293@]1
YELLOW,Y5  UI MF,[@6.0.14329702@][1][1622066296057]/46__Y5__UI_MF,Champaign Walmart,0,Y5  UI MF,[@15.0.63189004@]23
GREENHOPPER,GN8 MF,[@7.0.41101146@][4][1237930167062]/24__GN8_MF,Parkland College,1,GN8 MF,5W HOPPER 81
BROWN,BB1 MF,[@2.0.80548152@][12][1425571864566]/1__BB1_MF,Parkland College,1,BB1 MF,[@15.0.61662606@]366
RUBY,RUB2 SCH MTTF,[@15.0.64600293@][2][1340052703956]/0__RUB2_SCH_MTTF,Lincoln Square,1,RUB2 SCH MTTF,[@15.0.64600293@]2
GREEN ALT,3S 5W SHOW MF,[@2.0.84887452@][1455575490653]/85__3S_5W_SHOW_MF,Fairlawn & Vine,1,3S 5W SHOW MF,[@2.0.84887452@]GREEN 1
RAVEN,RV1 MF,[@2.0.81457398@][11][1425933027212]/22__RV1_MF,Illini Union,0,RV1 MF,[@2.0.81457398@]15
TEAL,T3 UIMF,[@6.0.28930857@][31][1653492750227]/33__T3_UIMF,Orchard Downs,0,T3 UIMF,12E TEAL 13
TEAL,T1 UIF,[@6.0.28930857@][32][1653599702162]/20__T1_UIF,Illinois Terminal,1,T1 UIF,12W TEAL 12
TEAL EVENING SATURDAY,T1 NONUI SA,[@124.0.92279199@][1484345597711]/12__T1_NONUI_SA,Orchard Downs,0,T1 NONUI SA,[@124.0.92279199@]TEAL EVENING 13
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/89__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 2
GREY,GR1 MF SCH,[@2.0.80545657@][32][1425489606906]/34__GR1_MF_SCH,Parkland College,1,GR1 MF SCH,7W
ILLINI,I4 UIF,[@6.0.28930998@][2][1654022383710]/65__I4_UIF,PAR,1,I4 UIF,22S ILLINI 20
ILLINI EVENING,I2 UIF LATE,[@6.0.28928828@][2][1654091820565]/15__I2_UIF_LATE,PAR,1,I2 UIF LATE,220S ILLINI 20
SILVER,SV2 NON UI,[@6.0.28932250@][1][1654525597845]/57__SV2_NON_UI,PAR,0,SV2 NON UI,[@6.0.28932250@]1
TEAL EVENING SATURDAY,T2 NONUI SA,[@124.0.92279199@][1484345597711]/51__T2_NONUI_SA,Illinois Terminal,1,T2 NONUI SA,[@124.0.92279199@]TEAL EVENING 12
SILVER,SV4 UI NOSCH,[@6.0.28932250@][1][1654214032262]/76__SV4_UI_NOSCH,Lincoln Square,0,SV4 UI NOSCH,[@6.0.28932250@]1
ILLINI LIMITED SUNDAY,I1 SU,[@6.0.14330187@][1][1622252763821]/12__I1_SU,Lincoln & Killarney,0,I1 SU,[@6.0.14330187@]6
LAVENDER SATURDAY,L1SA,[@15.0.63188981@][1][1334072140757]/43__L1SA,Champaign Walmart,0,L1SA,L1SATPO
BROWN,BB2 MF,[@15.0.61662606@][20][1329164411769]/27__BB2_MF,Parkland College,1,BB2 MF,[@15.0.61662606@]574
ILLINI LIMITED SATURDAY,I2  NONUISA,[@6.0.14330204@][1][1622384291845]/11__I2__NONUISA,Lincoln & Killarney,0,I2  NONUISA,[@6.0.14330204@]6
GREY SATURDAY,GR2SA,[@15.0.73008535@][31][1401897916351]/0__GR2SA,Lincoln Square - Urbana Walmart,0,GR2SA,[@15.0.69172548@]1
RUBY SUNDAY,RUB1 SU,[@124.0.92234822@][1484324980985]/18__RUB1_SU,Airport & Cunningham,0,RUB1 SU,[@124.0.92234822@]1
ILLINI,I1 UI MTH,[@6.0.28930998@][1][1654015280092]/0__I1_UI_MTH,Lincoln & Killarney,0,I1 UI MTH,22N ILLINI 10
BRONZE,BZ2 WED,[@14.0.51709163@][4][1277737126250]/0__BZ2_WED,Transit Plaza,1,BZ2 WED,8W
TEAL LATE NIGHT,T1 UIM-F,[@7.0.41905826@][3][1246486974015]/1__T1_UIM-F,Orchard Downs,0,T1 UIM-F,TEAL LATE 14
LIME SUNDAY,LM2 SU,[@124.0.94415718@][12][1496267134824]/23__LM2_SU,YMCA,1,LM2 SU,[@15.0.74000704@]41
YELLOW,Y3 MF,[@6.0.14329702@][1][1622066401834]/54__Y3_MF,Champaign Walmart,0,Y3 MF,[@15.0.63189004@]23
YELLOW LATE NIGHT SATURDAY,Y1 NONUI SA,[@124.0.92327957@][1484578220911]/38__Y1_NONUI_SA,Firsy & Gregory,1,Y1 NONUI SA,[@124.0.92327957@]32
